site,cs,yr,month,day,hour,tmin_open,tmax_open,tavg_open,rhmin_open,rhmax_open,rhavg_open,min_vp_open,max_vp_open,avg_vp_open,mean_wind,max_wind_speed,max_wind_time,mean_wind_vector,mean_wind_dir,std_dev_wind_dir,par,totalsolar
,21,2023,4,26,1300,9.05,9.59,9.24,91.5,96.2,94.3,10.63,11.4,11,0.41,1.05,1247,0.15,107.4,64.81,202.8,10.03
,21,2023,4,26,1400,9.12,9.66,9.44,90,94.8,93.1,10.43,11.31,11.01,0.44,1.12,1355,0.24,100.1,54.99,205.1,10.29
,21,2023,4,26,1500,9.39,10.34,9.91,90.1,95.5,93.9,10.81,11.96,11.46,0.45,1.07,1411,0.12,132.8,69.32,209.3,10.99
,21,2023,4,26,1600,10.14,10.48,10.34,95,95.9,95.4,11.77,12.12,11.98,0.28,0.43,1528,0.22,204.1,37.9,134.4,6.85
,21,2023,4,26,1700,10.41,10.71,10.55,95.4,96.5,96.1,12.03,12.39,12.23,0.28,0.41,1635,0.24,170.4,31.16,108,5.51
,21,2023,4,26,1800,10.34,10.68,10.48,96.3,96.8,96.5,12.1,12.39,12.23,0.28,0.33,1702,0.21,179.6,41.51,43.92,2.31
,21,2023,4,26,1900,10.14,10.54,10.28,96.7,97.2,97,12.01,12.32,12.13,0.28,0.28,1801,0.25,218.9,27.21,8.81,0.48
,21,2023,4,26,2000,10,10.31,10.12,96.8,97.2,96.9,11.88,12.17,11.99,0.28,0.28,1901,0.27,247.2,11.71,0.7,0.05
,21,2023,4,26,2100,9.76,10.14,9.95,96.8,97.3,97,11.71,12.03,11.86,0.28,0.28,2001,0.23,301.4,33.8,0,0.02
,21,2023,4,26,2200,9.18,9.86,9.48,96.9,97.1,97,11.26,11.81,11.5,0.34,0.68,2158,0.32,348.8,22.22,0,0.02
,21,2023,4,26,2300,8.78,9.18,8.98,96.9,97.2,97,10.95,11.29,11.11,0.31,0.61,2237,0.28,337.6,24.51,0,0.02
,21,2023,4,26,2400,8.78,9.05,8.85,97,97.3,97.1,10.96,11.2,11.03,0.34,0.83,2400,0.32,351.5,21.19,0,0.02
